time,1265680561永雏塔菲,1437582453東雪蓮Official,1811071010虞莫MOMO,2132180406明前奶绿,351686170小妹睡不醒,401480763眞白花音_Official,434334701七海Nana7mi,51628309飞天狙想要努力变胖,672328094嘉然今天吃什么,672353429贝拉kira,7706705阿梓从小就很可爱,8739477老实憨厚的笑笑
2020-02-29,,,,,,,49160.49,,,,,
2020-03-31,,,,,,,63968.2,,,,,
2020-04-30,,,,,,,67266.34,,,,,
2020-05-31,,,,,,,138463.6,,,,,
2020-06-30,,,,,,,179432.87,,,,,
2020-07-31,,,,,,,124578.81999999999,,,,,
2020-08-31,,,,,,,95263.22,,,,,
2020-09-30,,,,,,,87456.98,,,,,
2020-10-31,,,,,,,115177.08,,,,,
2020-11-30,36787.84,,,,,,85453.73999999999,,,,,
2020-12-31,102025.76,,,,,108186.12,98944.38,,34022.4,7092.56,,
2021-01-31,51562.9,,,,,214582.08,109222.02,,72279.88,35007.42,11136.36,
2021-02-28,85727.08,,,,,247933.16,173488.96,,222000.06,93721.9,195753.1,
2021-03-31,46960.7,,,,,188588.26,123035.16,,454915.48000000004,61378.22,178944.5,
2021-04-30,20985.54,10842.76,,,,109345.06,133301.0,,139216.3,98914.62,207535.84,
2021-05-31,26818.9,35019.840000000004,,,,197662.08000000002,78375.46,,289472.94,171338.68,146554.96,
2021-06-30,118877.5,72730.0,,,,151335.8,158005.6,,378046.2,230499.2,202227.0,
2021-07-31,74060.5,116533.3,,,,63100.3,486805.30000000005,,263794.2,1802158.6,540496.1,
2021-08-31,93516.5,54761.399999999994,,,,59354.799999999996,452444.8,,986226.3,83646.3,295216.7,
2021-09-30,74968.3,18340.3,,,,71952.6,803449.9,,188775.1,302437.2,369458.0,
2021-10-31,66433.9,32734.2,,,,119303.3,650494.7,,221087.9,127228.09999999999,627442.2999999999,
2021-11-30,41543.3,15754.699999999999,,,,64111.6,640678.1,,204912.4,103992.7,201602.30000000002,
2021-12-31,153393.4,38523.2,,,,240514.1,867996.3,,1353803.8,271207.0,1211950.5,
2022-01-31,169707.4,95727.29999999999,,,,79987.8,534503.1,,467199.5,88714.8,623686.8,
2022-02-28,539376.8,237717.2,,,,123316.8,820709.2000000001,,113853.7,785016.7999999999,683813.3,
2022-03-31,308637.3,94509.9,,,,64845.3,564341.3,,2543663.5,125671.6,635918.5,
2022-04-30,270480.0,36934.2,,,,127450.1,439558.8,,67608.1,138889.4,621485.3,
2022-05-31,426121.9,46702.1,,,,475983.9,479960.6,,247321.3,342461.2,287377.60000000003,
2022-06-30,581318.0,41273.5,,,,368827.9,764768.2000000001,95512.59999999999,291065.6,222418.3,339166.3,170248.7
2022-07-31,424447.6,311801.0,26554.2,186810.1,255129.7,483254.1,1047723.2999999999,179452.0,73596.5,1124103.7,418219.7,579081.7
2022-08-31,532193.9,253819.8,47877.799999999996,68585.1,594722.6,590548.2,597139.3,85693.8,159039.19999999998,80114.4,368103.1,955368.8
2022-09-30,269407.9,41630.799999999996,50272.5,515891.8,1706526.9,366841.7,326137.5,109686.9,134625.8,63991.2,435380.8,941480.9
2022-10-31,192546.8,45722.0,51439.6,209579.3,1632286.0999999999,159580.2,284507.7,42134.8,67122.5,98905.1,204089.2,826592.4
2022-11-30,106557.0,84360.59999999999,143777.4,165917.4,2641619.9,442335.0,285994.8,53675.7,77292.5,38780.4,171035.8,564751.8
2022-12-31,271447.5,69696.3,49119.0,150269.4,2594122.5,489622.0,355995.0,49413.3,3093214.6999999997,72475.4,604463.1000000001,741952.4
2023-01-31,197309.8,159836.0,63015.3,415497.6,744959.6,341186.3,355639.6,104965.7,196527.0,123445.8,216444.2,630987.7
2023-02-28,170143.0,145273.0,87851.0,169933.0,692025.0,154587.0,184432.0,78168.0,148186.0,255122.0,117347.0,563588.0
2023-03-31,85710.0,90485.0,207619.0,378471.0,770327.0,173187.0,230329.0,56554.0,2575202.0,75048.0,124986.0,1162647.0
2023-04-30,80005.0,26468.0,103476.0,183324.0,523212.0,226359.0,206827.0,342262.0,89476.0,155660.0,168444.0,829050.0
2023-05-31,164372.1,80323.5,98822.3,122259.6,374974.4,363817.1,354431.4,66498.9,239825.3,257748.9,74309.8,759262.1
2023-06-30,147063.0,57155.5,79316.3,164824.3,1500922.3,126831.90000000001,303765.4,32308.2,30851.1,84340.8,191344.19999999998,885887.6
2023-07-31,65303.700000000004,25301.9,602888.1000000001,98574.2,1508813.0,69317.8,382246.8,31113.0,150438.5,1832107.3,171355.4,317963.0
