cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
35359510,远古时代装机猿,娱乐,聊天室,4,1688389496002,,,
10485312,ZoveyChen,娱乐,视频聊天,4,1687814592860,,,
4677463,小熊茉莉,娱乐,视频聊天,4,1683470105672,,,
330663625,站不起来的蒙蒙,娱乐,视频聊天,4,1683214062434,,,
330663625,站不起来的蒙蒙,娱乐,视频聊天,4,1682606011427,,,
35359510,远古时代装机猿,娱乐,聊天室,4,1682172250646,,,
27959806,洛丽塔大哥lolita,娱乐,视频聊天,4,1682172969227,,,
11313303,林唯艺,娱乐,视频聊天,4,1678599807728,,,
67909300,可羲鹿甪娇,知识,科技,4,1674860634138,,,
496049835,贝贝在吗,娱乐,视频聊天,4,1664723860227,,,
1875198641,SpaceLens,,,4,1660323616757,,,
330663625,站不起来的蒙蒙,,,4,1660315954009,,,
